"Fuel.Type.Code","Station.Name","City","Latitude","Longitude"
"HY","SunLine Transit Agency","Thousand Palms",33.812361,-116.395444
"HY","University of California Irvine","Irvine",33.663511,-117.856388
"HY","Shell - Torrance","Torrance",33.858556,-118.31461
"HY","Penn State University - Hydrogen Station","University Park",40.813419,-77.85907
"HY","Ford Sustainable Mobility Transportation Laboratory","Dearborn",42.305644,-83.162105
"HY","Ohio State University - Center for Automotive Research","Columbus",39.997984,-83.032838
"HY","Los Angeles International Airport","Los Angeles",33.941383,-118.377866
"HY","H2 Frontier - Burbank","Burbank",34.174224,-118.310447
"HY","Gas Technology Institute - University of Texas Austin","Austin",30.385441,-97.724939
"HY","Nel Hydrogen - Wallingford","Wallingford",41.490507,-72.760932
"HY","Messer - Emeryville","Emeryville",37.8342675794767,-122.281581186508
"HY","Shell - Newport Beach","Newport Beach",33.625226,-117.878398
"HY","Air Liquide - Innovation Campus Delaware","Newark",39.611522,-75.739514
"HY","Town of Hempstead - Department of Conservation & Waterways","Point Lookout",40.592118,-73.585241
"HY","Honda MC Formula Station","Torrance",33.843799,-118.313324
"HY","Air Liquide - Palo Alto","Palo Alto",37.418914,-122.133104
"HY","Air Liquide - Anaheim","Anaheim",33.855862,-117.837744
"HY","Air Products and Chemicals Inc - Los Angeles","Los Angeles",34.076363,-118.358673
"HY","H2 Frontier - Chino","Chino",34.023812,-117.724266
"HY","California State University Los Angeles - Hydrogen Research & Fueling Facility","Los Angeles",34.065956,-118.165565
"HY","True Zero - Cupertino","Cupertino",37.322501,-122.051487
"HY","True Zero - Campbell","Campbell",37.271941,-121.954643
"HY","True Zero - Coalinga","Coalinga",36.25298,-120.239432
"HY","True Zero - Costa Mesa","Costa Mesa",33.648692,-117.918614
"HY","True Zero - Hayward","Hayward",37.666686,-122.106352
"HY","True Zero - La Canada Flintridge","La Canada Flintridge",34.200017,-118.191164
"HY","True Zero - Fremont","Fremont",37.52217,-121.968501
"HY","FirstElement - Lake Forest","Lake Forest",33.661543,-117.668467
"HY","True Zero - Long Beach","Long Beach",33.819222,-118.189733
"HY","FirstElement - Hollywood Blvd","Los Angeles",34.101336,-118.314034
"HY","True Zero - Lincoln Blvd","Los Angeles",33.963119,-118.421458
"HY","True Zero - Mill Valley","Mill Valley",37.888823,-122.5179817
"HY","True Zero - Thousand Oaks","Thousand Oaks",34.168683,-118.835986
"HY","True Zero - Del Mar","San Diego",32.933578,-117.240016
"HY","True Zero - San Jose","San Jose",37.37326,-121.918838
"HY","True Zero - Santa Barbara","Santa Barbara",34.438155,-119.751005
"HY","True Zero - Saratoga","Saratoga",37.284189,-121.999331
"HY","True Zero - South Pasadena","South Pasadena",34.111868,-118.149849
"HY","True Zero - South San Francisco","South San Francisco",37.647933,-122.406006
"HY","True Zero - Truckee","Truckee",39.324902,-120.223537
"HY","Air Products and Chemicals Inc - Lawndale","Lawndale",33.889394,-118.360962
